 NAME III (version 6.5)                                          
 Run name:                   Training Example 1
 Run time:                   30/09/2015 15:20:04.640 UTC+01:00
 Met data:                   Single Site Flow.Met Station
 Start of release:           08/10/2008 00:00 UTC
 End of release:             08/10/2008 06:00 UTC
 Source strength:            100.0000 g / s
 Release location:           3.4700W   50.7300N
 Release height:             150.000m agl +/- 0.000m
 Run duration:               12hr 0min
 X grid origin:                -6.445000    
 Y grid origin:                 47.75500    
 X grid size:                         120
 Y grid size:                         120
 X grid resolution:            5.0000001E-02
 Y grid resolution:            5.0000001E-02
 Number of preliminary cols:            4
 Number of field cols:                  1
 
 Fields:
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                     Req 1,
                        ,                        ,                        ,                        ,         Air Concentration,
                        ,                        ,                        ,                        ,                    Tracer,
                        ,                        ,                        ,                        ,                   g / m^3,
                        ,                        ,                        ,                        ,               All sources,
                        ,                        ,                        ,                        ,     No ensemble averaging,
                        ,                        ,                        ,                        ,          1hr 0min average,
                        ,                        ,                        ,                        ,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,      08/10/2008 12:00 UTC,
                        ,                        ,                        ,                        ,        Z = 50.00000 m agl,
                        ,                        ,                        ,                        ,                          ,
                 X Index,                 Y Index,            X (Lat-Long),            Y (Lat-Long),                          ,
                      67,                      57,               -3.145000,                50.55500,             2.7491398E-08,
                      68,                      57,               -3.095000,                50.55500,             2.7491398E-08,
                      68,                      58,               -3.095000,                50.60500,             2.7520981E-08,
                      68,                      61,               -3.095000,                50.75500,             5.5226188E-08,
                      69,                      57,               -3.045000,                50.55500,             2.7491398E-08,
                      69,                      59,               -3.045000,                50.65500,             1.1020251E-07,
                      69,                      60,               -3.045000,                50.70500,             1.1032135E-07,
                      69,                      61,               -3.045000,                50.75500,             8.2839279E-08,
                      69,                      62,               -3.045000,                50.80500,             2.7636966E-08,
                      70,                      58,               -2.995000,                50.60500,             1.3760490E-07,
                      70,                      59,               -2.995000,                50.65500,             1.3775313E-07,
                      70,                      60,               -2.995000,                50.70500,             3.5854441E-07,
                      70,                      61,               -2.995000,                50.75500,             1.1045238E-07,
                      71,                      56,               -2.945000,                50.50500,             2.7461878E-08,
                      71,                      57,               -2.945000,                50.55500,             5.4982795E-08,
                      71,                      58,               -2.945000,                50.60500,             3.0273080E-07,
                      71,                      59,               -2.945000,                50.65500,             2.2040501E-07,
                      71,                      60,               -2.945000,                50.70500,             1.1032135E-07,
                      71,                      61,               -2.945000,                50.75500,             2.7613095E-07,
                      71,                      62,               -2.945000,                50.80500,             5.5273933E-08,
                      71,                      63,               -2.945000,                50.85500,             2.7669858E-08,
                      72,                      55,               -2.895000,                50.45500,             2.7432423E-08,
                      72,                      56,               -2.895000,                50.50500,             5.4923756E-08,
                      72,                      57,               -2.895000,                50.55500,             1.6494839E-07,
                      72,                      58,               -2.895000,                50.60500,             3.3025174E-07,
                      72,                      59,               -2.895000,                50.65500,             6.8876568E-07,
                      72,                      60,               -2.895000,                50.70500,             5.7918709E-07,
                      72,                      61,               -2.895000,                50.75500,             6.0748806E-07,
                      72,                      62,               -2.895000,                50.80500,             1.1054787E-07,
                      72,                      63,               -2.895000,                50.85500,             2.7669858E-08,
                      73,                      56,               -2.845000,                50.50500,             1.9223314E-07,
                      73,                      57,               -2.845000,                50.55500,             1.9243978E-07,
                      73,                      58,               -2.845000,                50.60500,             6.8802456E-07,
                      73,                      59,               -2.845000,                50.65500,             9.0917081E-07,
                      73,                      60,               -2.845000,                50.70500,             8.2741019E-07,
                      73,                      61,               -2.845000,                50.75500,             6.3510117E-07,
                      73,                      62,               -2.845000,                50.80500,             1.3818483E-07,
                      73,                      63,               -2.845000,                50.85500,             5.5339715E-08,
                      74,                      55,               -2.795000,                50.45500,             2.7432423E-08,
                      74,                      56,               -2.795000,                50.50500,             8.2385633E-08,
                      74,                      57,               -2.795000,                50.55500,             2.4742258E-07,
                      74,                      58,               -2.795000,                50.60500,             8.2562940E-07,
                      74,                      59,               -2.795000,                50.65500,             1.1571265E-06,
                      74,                      60,               -2.795000,                50.70500,             1.0480529E-06,
                      74,                      61,               -2.795000,                50.75500,             9.1123218E-07,
                      74,                      62,               -2.795000,                50.80500,             1.9345877E-07,
                      74,                      63,               -2.795000,                50.85500,             1.6601915E-07,
                      74,                      64,               -2.795000,                50.90500,             2.7699825E-08,
                      75,                      55,               -2.745000,                50.45500,             5.4864845E-08,
                      75,                      56,               -2.745000,                50.50500,             2.4715689E-07,
                      75,                      57,               -2.745000,                50.55500,             4.1237098E-07,
                      75,                      58,               -2.745000,                50.60500,             1.1283601E-06,
                      75,                      59,               -2.745000,                50.65500,             1.2397784E-06,
                      75,                      60,               -2.745000,                50.70500,             1.2411153E-06,
                      75,                      61,               -2.745000,                50.75500,             9.9407134E-07,
